date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:35:37	95728/95728	---M--	200	added ('OK')	application/pdf	etag:%220a7459dd5ebda1:0%22	https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m186.pdf	C:/My%20Web%20Sites/mnn/tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m186.pdf	(from https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/index2.aspx)
02:35:38	94403/94403	---M--	200	added ('OK')	application/pdf	etag:%220a7459dd5ebda1:0%22	https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m187.pdf	C:/My%20Web%20Sites/mnn/tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m187.pdf	(from https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/index2.aspx)
02:35:39	93071/93071	---M--	200	added ('OK')	application/pdf	etag:%220a7459dd5ebda1:0%22	https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m188.pdf	C:/My%20Web%20Sites/mnn/tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m188.pdf	(from https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/index2.aspx)
02:35:39	94798/94798	---M--	200	added ('OK')	application/pdf	etag:%220d4769ed5ebda1:0%22	https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m189.pdf	C:/My%20Web%20Sites/mnn/tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m189.pdf	(from https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/index2.aspx)
02:35:40	94270/94270	---M--	200	added ('OK')	application/pdf	etag:%220d4769ed5ebda1:0%22	https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m190.pdf	C:/My%20Web%20Sites/mnn/tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m190.pdf	(from https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/index2.aspx)
02:35:40	94141/94141	---M--	200	added ('OK')	application/pdf	etag:%220d4769ed5ebda1:0%22	https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m191.pdf	C:/My%20Web%20Sites/mnn/tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m191.pdf	(from https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/index2.aspx)
02:35:41	97569/97569	---M--	200	added ('OK')	application/pdf	etag:%2201a89fd5ebda1:0%22	https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m192.pdf	C:/My%20Web%20Sites/mnn/tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m192.pdf	(from https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/index2.aspx)
02:35:41	90944/90944	---M--	200	added ('OK')	application/pdf	etag:%2201a89fd5ebda1:0%22	https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m193.pdf	C:/My%20Web%20Sites/mnn/tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m193.pdf	(from https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/index2.aspx)
02:35:41	93185/93185	---M--	200	added ('OK')	application/pdf	etag:%2202ed9a0d5ebda1:0%22	https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m194.pdf	C:/My%20Web%20Sites/mnn/tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m194.pdf	(from https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/index2.aspx)
02:35:42	95001/95001	---M--	200	added ('OK')	application/pdf	etag:%2202ed9a0d5ebda1:0%22	https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m195.pdf	C:/My%20Web%20Sites/mnn/tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m195.pdf	(from https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/index2.aspx)
02:35:43	94051/94051	---M--	200	added ('OK')	application/pdf	etag:%2205baa2d5ebda1:0%22	https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m196.pdf	C:/My%20Web%20Sites/mnn/tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m196.pdf	(from https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/index2.aspx)
02:35:44	86275/86275	---M--	200	added ('OK')	application/pdf	etag:%2205baa2d5ebda1:0%22	https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m197.pdf	C:/My%20Web%20Sites/mnn/tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m197.pdf	(from https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/index2.aspx)
02:35:44	85315/85315	---M--	200	added ('OK')	application/pdf	etag:%220883ba3d5ebda1:0%22	https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m198.pdf	C:/My%20Web%20Sites/mnn/tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m198.pdf	(from https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/index2.aspx)
